signal_date,close_at_signal,fwd_5d_return_pct,fwd_10d_return_pct,fwd_20d_return_pct
2016-02-02,160.316,2.4874,-1.4303,-4.6487
2018-03-22,232.4041,0.1972,1.4981,-1.115
2018-10-10,247.5161,-0.7725,4.664,-0.9738
2018-11-14,240.3121,1.9171,-1.399,3.601
2020-10-28,302.03,-5.1674,-9.1869,-11.0206
2022-01-19,425.0602,4.0664,-1.2396,1.14
2022-04-22,402.1145,3.2955,3.4504,8.5462
2022-06-28,360.8254,-0.683,0.4781,-5.3566
2022-09-21,359.2048,1.8177,0.0795,2.3557
2023-10-19,412.2712,3.2549,-1.0154,-5.5812
