entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,signal_date,entry_support_shelf,position_size
2016-02-03,161.2891,2016-02-17,162.6904,stop_risk_high,10,-0.8688,2016-02-02,161.7997,0.33
2018-03-23,232.7284,2018-03-29,232.0617,derisk_signal,5,0.2865,2018-03-22,234.9096,0.33
2018-10-11,246.3078,2018-10-16,249.5085,derisk_signal,4,-1.2995,2018-10-10,249.1631,0.33
2018-11-15,238.9297,2018-11-15,242.9416,derisk_signal,1,-1.6791,2018-11-14,243.1493,0.33
2020-10-29,302.11,2020-11-03,310.8488,stop_risk_high,4,-2.8926,2020-10-28,306.4803,0.33
2022-01-20,426.7286,2022-02-09,430.7234,derisk_signal,15,-0.9362,2022-01-19,428.8697,0.33
2022-04-25,399.6777,2022-05-20,367.9331,time_stop,20,7.9426,2022-04-22,404.5764,0.33
2022-06-29,361.1946,2022-07-19,372.0262,stop_risk_high,14,-2.9988,2022-06-28,367.9096,0.33
2022-09-22,358.2545,2022-10-19,350.9185,time_stop,20,2.0477,2022-09-21,363.29,0.33
2023-10-20,411.6302,2023-10-24,409.7689,derisk_signal,3,0.4522,2023-10-19,416.1287,0.33
