signal_date,side,close_at_signal,fwd_5d_return_pct,fwd_10d_return_pct,fwd_20d_return_pct
2015-12-14,short,170.0445,0.0147,-2.8262,6.3806
2016-01-08,short,161.7997,2.1415,2.2301,3.3868
2016-02-25,long,164.8516,2.1684,2.0456,4.4122
2016-03-31,long,174.159,-0.7639,1.2115,0.9391
2016-04-14,long,176.269,0.4615,-0.2692,-0.6971
2016-05-27,long,178.1587,0.528,-0.8514,-4.5672
2016-06-06,long,179.0993,-1.3721,-1.1446,-0.8782
2016-07-11,long,181.7769,1.4105,1.5229,2.179
2016-08-05,long,185.8486,0.1284,0.165,0.0871
2016-09-12,short,184.2812,0.856,0.4705,-0.4215
2016-11-01,short,180.649,-1.4692,-3.4453,-4.4406
2016-11-09,long,185.2464,0.6886,1.9965,4.0531
2016-12-07,long,192.2837,0.5699,1.1134,1.7583
2017-01-06,long,195.6647,-0.0704,-0.4665,0.757
2017-01-25,long,197.697,-0.8494,-0.1438,2.9925
2017-02-24,long,203.8715,0.7097,0.4013,-0.7868
2017-03-02,long,205.1891,-0.5917,0.0881,-0.3996
2017-03-22,short,202.6308,-0.5378,-0.2134,-0.4524
2017-04-25,long,206.3239,0.0922,0.3731,0.6288
2017-05-25,long,209.1003,0.9969,0.6825,1.0571
2017-07-14,long,213.4227,0.5375,0.5498,-0.5864
2017-07-25,long,215.0392,-0.0404,-0.0647,-0.8003
2017-09-12,long,217.325,0.4641,0.1065,2.333
2017-10-11,long,222.7446,0.2745,0.1059,1.6038
2017-11-03,long,225.7405,-0.1393,-0.2283,2.2016
2017-11-21,long,227.0855,1.0462,1.2501,3.2328
2018-01-02,long,235.9543,2.1468,4.0332,4.8852
2018-03-23,short,227.4505,0.2248,-1.1432,-3.3017
2018-04-02,short,226.9393,-1.371,-3.8296,-2.7343
2018-05-10,long,239.764,-0.0037,0.2867,2.2682
2018-06-04,long,242.3024,1.3314,1.0556,-0.6618
2018-07-10,long,246.932,0.5629,0.9717,2.3951
2018-07-13,long,247.5429,0.0322,0.6545,1.2768
2018-07-17,long,248.322,0.4065,0.3066,1.223
2018-07-25,long,251.4563,-1.1091,0.5106,0.7606
2018-08-06,long,252.0141,-0.8924,0.3619,1.8163
2018-08-21,long,253.5191,1.2503,0.9394,1.7043
2018-09-20,long,259.9293,-0.5362,-0.9639,-5.4257
2018-10-10,short,247.5161,-0.7725,4.664,-0.9738
2018-12-17,short,227.1136,7.6956,1.4564,-2.7976
2019-01-31,long,241.4739,0.0778,1.6486,3.8862
2019-02-19,long,248.5589,0.5291,0.4211,2.0853
2019-03-15,long,252.7627,-0.7323,0.4159,3.146
2019-04-02,long,256.9499,0.4686,1.4652,2.0421
2019-04-15,long,260.5438,1.0036,1.3967,-2.2657
2019-05-29,short,250.0312,-1.6854,-3.6367,-4.8919
2019-06-19,long,263.3203,-0.4017,2.4545,2.4648
2019-07-24,long,272.1673,-1.3303,-4.4686,-2.9823
2019-07-26,long,272.6819,-3.1091,-3.4403,-5.6819
2019-08-06,short,259.8518,-1.6505,-0.7957,-2.1682
2019-09-06,long,269.1064,1.02,0.5393,-0.7853
2019-10-03,short,263.4283,-0.971,-3.0507,-4.4453
2019-10-25,long,273.5693,1.5053,2.4337,3.1034
2019-11-25,long,284.2452,-1.219,0.0511,3.0122
2019-12-12,long,287.6559,1.1888,2.3074,3.9203
2020-01-10,long,296.8909,1.9158,-0.6785,2.754
2020-01-15,long,299.1516,1.0756,-0.1554,2.7027
2020-02-06,long,304.4293,0.9222,-0.1497,-10.9348
2020-02-10,long,305.0674,0.6125,-6.5824,-13.8222
2020-02-26,short,283.9383,-0.4366,11.923,20.3078
2020-05-28,long,277.787,2.7692,-0.779,1.8921
2020-07-14,long,293.6979,1.9096,0.7055,4.3522
2020-08-18,long,311.8584,1.6182,4.1224,0.0532
2020-08-25,long,316.905,2.4642,-1.2583,-5.8667
2020-09-01,long,324.7143,-3.633,-3.9081,-4.6425
2020-10-13,long,323.7304,-1.9279,-3.4016,1.1167
2020-10-29,short,305.0998,-6.1397,-7.0398,-10.2097
2020-11-10,long,327.3456,1.8586,2.5929,3.6183
2020-12-17,long,344.1733,-0.4478,-0.5045,2.1556
2021-01-08,long,354.0158,-1.4583,0.821,2.4262
2021-01-21,long,356.7829,-1.7202,0.5075,1.5069
2021-02-04,long,358.5935,1.1704,0.9943,-0.6629
2021-03-15,long,368.0833,-0.6393,0.1681,4.4908
2021-04-06,long,378.3344,1.6596,1.4897,2.3392
2021-04-16,long,388.7124,-0.1246,0.0096,-0.163
2021-05-07,long,393.2398,-1.3124,-1.7009,0.0166
2021-06-10,long,394.6278,-0.3871,0.6801,3.1479
2021-06-25,long,398.7228,1.6666,2.4542,3.3778
2021-07-09,long,407.0504,-0.9598,1.0149,1.6004
2021-07-23,long,411.1815,-0.325,0.5796,0.7774
2021-08-06,long,413.5648,0.7752,0.1966,2.3933
2021-08-23,long,418.0229,1.1112,0.9391,-2.7368
2021-08-27,long,420.8175,0.6285,-0.8151,-1.3752
2021-09-21,short,406.5823,-0.0208,0.1222,-3.9227
