date,state,confidence,long_confirms,short_confirms,range_compressed,breakout_long,breakout_short,retest_hold_long,retest_hold_short,close,range_high,range_low,atr20,in_position,position_side
2015-11-16,no_setup,0.0,0,0,0,0,0,0,0,172.3241,,,,False,
2015-11-17,no_setup,0.0,0,0,0,0,0,0,0,172.1983,,,,False,
2015-11-18,no_setup,0.0,0,0,0,0,0,0,0,174.9305,,,,False,
2015-11-19,no_setup,0.0,0,0,0,0,0,0,0,174.7796,,,,False,
2015-11-20,breakout_candidate,0.5,3,1,2,0,0,0,0,175.4165,177.386,169.1645,1.6967,False,
2015-11-23,breakout_candidate,0.55,4,1,2,0,0,0,0,175.2154,177.386,169.4411,1.718,False,
2015-11-24,breakout_candidate,0.55,4,1,2,0,0,0,0,175.4501,177.386,169.4411,1.7687,False,
2015-11-25,breakout_candidate,0.55,4,1,2,0,0,0,0,175.4249,177.386,169.4411,1.6833,False,
2015-11-27,breakout_candidate,0.5,3,1,2,0,0,0,0,175.626,177.386,169.4411,1.6782,False,
2015-11-30,breakout_candidate,0.5,3,1,2,0,0,0,0,174.8969,177.386,169.4411,1.6627,False,
2015-12-01,breakout_candidate,0.6,5,0,2,0,0,0,0,176.5647,177.386,169.4411,1.6393,False,
2015-12-02,breakout_candidate,0.6,5,0,2,0,0,0,0,174.7628,177.386,169.4411,1.6732,False,
2015-12-03,breakout_candidate,0.5,3,1,2,0,0,0,0,172.3157,177.386,169.4411,1.783,False,
2015-12-04,breakout_candidate,0.5,3,0,2,0,0,0,0,175.6763,177.2519,169.4411,1.8865,False,
2015-12-07,breakout_candidate,0.5,3,1,2,0,0,0,0,174.612,176.8328,169.4411,1.9146,False,
2015-12-08,breakout_candidate,0.5,3,2,2,0,0,0,0,173.4387,176.8328,169.4411,1.8928,False,
2015-12-09,breakout_candidate,0.5,3,3,2,0,0,0,0,172.0894,176.8328,169.4411,2.0223,False,
2015-12-10,breakout_candidate,0.5,3,2,2,0,0,0,0,172.5335,176.8328,169.4411,2.0646,False,
2015-12-11,breakout_candidate,0.55,2,4,2,0,1,0,0,169.1897,176.8328,169.4411,2.1249,False,
2015-12-14,entry_trigger_short,0.9,1,4,2,0,0,0,1,170.0445,176.8328,169.4411,2.1543,False,
2015-12-15,exit_signal,0.95,0,4,2,0,0,0,0,171.8296,176.8328,168.8796,2.1429,True,short
2015-12-16,breakout_candidate,0.55,1,4,2,0,0,0,0,174.3438,176.8328,167.5722,2.2029,False,
2015-12-17,breakout_candidate,0.6,1,5,2,0,0,0,0,171.6871,176.8328,167.5722,2.2117,False,
2015-12-18,breakout_candidate,0.55,0,4,2,0,0,0,0,168.6285,176.8328,167.5722,2.337,False,
2015-12-21,breakout_candidate,0.5,2,3,2,0,0,0,0,170.0195,176.8328,167.5722,2.3496,False,
2015-12-22,range_forming,0.25,1,2,2,0,0,0,0,171.5623,176.8328,167.5722,2.3854,False,
2015-12-23,range_forming,0.25,2,1,2,0,0,0,0,173.6868,176.8328,167.5722,2.3923,False,
2015-12-24,breakout_candidate,0.5,3,1,2,0,0,0,0,173.4002,176.8328,167.5722,2.4001,False,
2015-12-28,breakout_candidate,0.5,3,2,2,0,0,0,0,173.004,176.8328,167.5722,2.434,False,
2015-12-29,breakout_candidate,0.55,4,1,2,0,0,0,0,174.8503,176.8328,167.5722,2.4871,False,
2015-12-30,breakout_candidate,0.55,4,1,2,0,0,0,0,173.6109,176.8328,167.5722,2.4669,False,
2015-12-31,range_forming,0.25,2,1,2,0,0,0,0,171.8743,176.8328,167.5722,2.4377,False,
