side,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,position_size,weighted_return_pct
short,2015-12-14,2015-12-15,171.4672,2015-12-15,171.9155,stop_hit_short,1,-0.2615,0.33,-0.0863
short,2016-01-08,2016-01-11,162.6373,2016-01-14,161.889,failed_breakout_short,4,0.4601,0.33,0.1518
long,2016-02-25,2016-02-26,165.8028,2016-03-18,173.1063,partial_profit_long,16,4.4049,0.11,0.4845
long,2016-02-25,2016-02-26,165.8028,2016-03-24,172.0392,time_stop,20,3.7613,0.22,0.8275
long,2016-03-31,2016-04-01,173.2541,2016-04-04,174.6902,failed_breakout_long,2,0.8289,0.33,0.2735
long,2016-04-14,2016-04-15,176.3571,2016-05-03,174.614,stop_hit_long,13,-0.9884,0.33,-0.3262
long,2016-05-27,2016-05-31,178.5191,2016-06-03,178.1035,failed_breakout_long,4,-0.2328,0.33,-0.0768
long,2016-06-06,2016-06-07,179.3415,2016-06-09,179.6281,failed_breakout_long,3,0.1598,0.33,0.0527
long,2016-07-11,2016-07-12,182.8308,2016-07-21,184.1295,failed_breakout_long,8,0.7103,0.33,0.2344
long,2016-08-05,2016-08-08,186.129,2016-08-16,185.5684,failed_breakout_long,7,-0.3012,0.33,-0.0994
short,2016-09-12,2016-09-13,182.912,2016-09-21,184.8593,stop_hit_short,7,-1.0646,0.33,-0.3513
short,2016-11-01,2016-11-02,180.2506,2016-11-07,182.5724,stop_hit_short,4,-1.2881,0.33,-0.4251
long,2016-11-09,2016-11-10,186.127,2016-11-28,188.6621,failed_breakout_long,12,1.362,0.33,0.4495
long,2016-12-07,2016-12-08,192.3541,2016-12-14,193.2828,failed_breakout_long,5,0.4828,0.33,0.1593
long,2017-01-06,2017-01-09,195.504,2017-01-09,194.9213,failed_breakout_long,1,-0.2981,0.33,-0.0984
long,2017-01-25,2017-01-26,197.6493,2017-02-14,201.1529,partial_profit_long,14,1.7727,0.11,0.195
long,2017-01-25,2017-01-26,197.6493,2017-02-23,203.5114,time_stop,20,2.9659,0.22,0.6525
long,2017-02-24,2017-02-27,203.8873,2017-02-28,203.5372,failed_breakout_long,2,-0.1717,0.33,-0.0567
long,2017-03-02,2017-03-03,205.2055,2017-03-08,203.6146,stop_hit_long,4,-0.7753,0.33,-0.2558
short,2017-03-22,2017-03-23,202.5295,2017-03-28,203.6321,stop_hit_short,4,-0.5444,0.33,-0.1796
long,2017-04-25,2017-04-26,206.3925,2017-05-16,207.5434,failed_breakout_long,15,0.5576,0.33,0.184
long,2017-05-25,2017-05-26,209.0145,2017-06-19,212.5341,partial_profit_long,16,1.6839,0.11,0.1852
long,2017-05-25,2017-05-26,209.0145,2017-06-20,211.1008,failed_breakout_long,17,0.9982,0.22,0.2196
long,2017-07-14,2017-07-17,213.4511,2017-07-21,214.4626,failed_breakout_long,5,0.4739,0.33,0.1564
long,2017-07-25,2017-07-26,215.4337,2017-08-10,211.7523,stop_hit_long,12,-1.7088,0.33,-0.5639
long,2017-09-12,2017-09-13,217.1468,2017-10-03,220.7475,partial_profit_long,15,1.6582,0.11,0.1824
long,2017-09-12,2017-09-13,217.1468,2017-10-10,222.284,time_stop,20,2.3658,0.22,0.5205
long,2017-10-11,2017-10-12,222.5414,2017-10-27,224.9815,partial_profit_long,12,1.0965,0.11,0.1206
long,2017-10-11,2017-10-12,222.5414,2017-10-30,224.1435,failed_breakout_long,13,0.7199,0.22,0.1584
long,2017-11-03,2017-11-06,225.7222,2017-11-14,224.999,stop_hit_long,7,-0.3204,0.33,-0.1057
long,2017-11-21,2017-11-22,227.2078,2017-11-30,231.3545,partial_profit_long,6,1.8251,0.11,0.2008
long,2017-11-21,2017-11-22,227.2078,2017-12-20,234.3095,time_stop,20,3.1257,0.22,0.6876
long,2018-01-02,2018-01-03,236.2392,2018-01-05,239.9165,partial_profit_long,3,1.5566,0.11,0.1712
long,2018-01-02,2018-01-03,236.2392,2018-01-29,249.7968,failed_breakout_long,18,5.7389,0.22,1.2626
short,2018-03-23,2018-03-26,230.9311,2018-03-26,233.7901,failed_breakout_short,1,-1.238,0.33,-0.4086
short,2018-04-02,2018-04-03,228.0592,2018-04-03,229.9629,stop_hit_short,1,-0.8347,0.33,-0.2755
long,2018-05-10,2018-05-11,240.0073,2018-05-29,237.0011,stop_hit_long,12,-1.2526,0.33,-0.4133
long,2018-06-04,2018-06-05,242.5558,2018-06-25,239.8176,stop_hit_long,15,-1.1289,0.33,-0.3725
long,2018-07-10,2018-07-11,245.5052,2018-07-11,245.0031,stop_hit_long,1,-0.2045,0.33,-0.0675
long,2018-07-13,2018-07-16,247.711,2018-07-16,247.1979,failed_breakout_long,1,-0.2071,0.33,-0.0684
long,2018-07-17,2018-07-18,248.5259,2018-07-19,247.7819,failed_breakout_long,2,-0.2994,0.33,-0.0988
long,2018-07-25,2018-07-26,250.8644,2018-07-30,247.7377,stop_hit_long,3,-1.2464,0.33,-0.4113
long,2018-08-06,2018-08-07,252.8044,2018-08-10,250.5783,stop_hit_long,4,-0.8806,0.33,-0.2906
long,2018-08-21,2018-08-22,253.2386,2018-08-29,257.941,partial_profit_long,6,1.8569,0.11,0.2043
long,2018-08-21,2018-08-22,253.2386,2018-08-30,256.8967,failed_breakout_long,7,1.4445,0.22,0.3178
long,2018-09-20,2018-09-21,260.8005,2018-10-04,257.2952,stop_hit_long,10,-1.3441,0.33,-0.4435
short,2018-10-10,2018-10-11,246.3079,2018-10-24,236.0899,partial_profit_short,10,4.1485,0.11,0.4563
short,2018-10-10,2018-10-11,246.3079,2018-10-25,240.3255,failed_breakout_short,11,2.4288,0.22,0.5343
short,2018-12-17,2018-12-18,228.6357,2018-12-21,215.433,partial_profit_short,4,5.7746,0.11,0.6352
short,2018-12-17,2018-12-18,228.6357,2018-12-26,220.3377,failed_breakout_short,6,3.6293,0.22,0.7985
long,2019-01-31,2019-02-01,241.7916,2019-02-14,245.3321,failed_breakout_long,10,1.4643,0.33,0.4832
long,2019-02-19,2019-02-20,248.6474,2019-02-26,249.7491,failed_breakout_long,5,0.4431,0.33,0.1462
long,2019-03-15,2019-03-18,253.1048,2019-03-22,250.7863,stop_hit_long,5,-0.916,0.33,-0.3023
long,2019-04-02,2019-04-03,258.2919,2019-04-09,258.0248,failed_breakout_long,5,-0.1034,0.33,-0.0341
long,2019-04-15,2019-04-16,261.5552,2019-05-08,258.2223,stop_hit_long,16,-1.2743,0.33,-0.4205
short,2019-05-29,2019-05-30,250.6605,2019-06-04,252.1878,failed_breakout_short,4,-0.6093,0.33,-0.2011
long,2019-06-19,2019-06-20,266.1308,2019-07-16,270.5332,failed_breakout_long,18,1.6542,0.33,0.5459
long,2019-07-24,2019-07-25,271.8516,2019-07-25,270.7316,stop_hit_long,1,-0.412,0.33,-0.136
long,2019-07-26,2019-07-29,272.7007,2019-07-31,268.4124,stop_hit_long,3,-1.5725,0.33,-0.5189
short,2019-08-06,2019-08-07,256.6536,2019-08-08,265.2393,stop_hit_short,2,-3.3452,0.33,-1.1039
long,2019-09-06,2019-09-09,270.2256,2019-10-02,261.1571,stop_hit_long,18,-3.3559,0.33,-1.1074
short,2019-10-03,2019-10-04,263.9494,2019-10-04,267.1266,stop_hit_short,1,-1.2037,0.33,-0.3972
long,2019-10-25,2019-10-28,274.9221,2019-11-15,282.6708,partial_profit_long,15,2.8185,0.11,0.31
long,2019-10-25,2019-10-28,274.9221,2019-11-22,281.9183,time_stop,20,2.5448,0.22,0.5599
long,2019-11-25,2019-11-26,284.4238,2019-12-02,282.5348,stop_hit_long,4,-0.6641,0.33,-0.2192
