symbol,side,entry_date,exit_date,entry_price,exit_price,stop_level,shares,bars_held,pnl_usd,pnl_pct,exit_reason,partial
GLD,short,2015-12-01,2015-12-02,102.2489,100.7403,102.485,16,2,24.14,1.4753,partial_profit,True
GLD,short,2015-12-01,2015-12-04,102.2489,104.072,102.485,32,4,-58.34,-1.7831,stop,False
XLF,short,2015-12-15,2015-12-15,15.764,15.9859,15.9297,316,1,-70.1,-1.4072,stop,False
XLF,short,2015-12-22,2015-12-23,15.816,16.0727,15.9297,314,2,-80.58,-1.6225,stop,False
XLF,short,2015-12-29,2015-12-29,16.1635,16.2131,15.9297,306,1,-15.18,-0.307,stop,False
XLE,short,2015-12-07,2016-01-05,20.5365,19.8984,21.4677,243,20,155.06,3.1071,time_stop,False
XLF,short,2016-01-05,2016-01-08,15.6423,14.7818,15.9297,105,4,90.36,5.5014,partial_profit,True
XLF,short,2016-01-05,2016-02-02,15.6423,14.0661,15.9297,211,20,332.58,10.0767,time_stop,False
IWM,short,2016-01-08,2016-02-05,92.5675,85.807,96.2443,53,20,358.3,7.3032,time_stop,False
XLF,short,2016-02-10,2016-02-11,13.7313,13.1497,13.8565,124,2,72.11,4.2352,partial_profit,True
XLF,short,2016-02-10,2016-02-16,13.7313,13.9256,13.8565,250,4,-48.58,-1.4152,stop,False
XLF,short,2016-02-17,2016-02-17,14.0453,14.1129,13.8565,366,1,-24.73,-0.481,stop,False
XLF,short,2016-02-24,2016-02-24,13.7847,13.9658,13.8565,373,1,-67.52,-1.3131,stop,False
XLF,short,2016-03-02,2016-03-02,14.5799,14.7416,13.8565,351,1,-56.77,-1.1093,stop,False
IWM,short,2016-02-08,2016-03-07,84.8207,95.3032,96.2443,22,20,-230.62,-12.3584,time_stop,False
XLF,short,2016-03-09,2016-03-09,14.6935,14.6747,13.8565,300,1,5.62,0.1276,stop,False
XLF,short,2016-03-16,2016-03-16,14.8939,14.9557,13.8565,242,1,-14.94,-0.4144,stop,False
XLF,short,2016-03-23,2016-03-23,15.1547,15.0825,13.8565,194,1,14.0,0.4763,stop,False
XLF,short,2016-03-30,2016-03-30,15.1278,15.1497,13.8565,198,1,-4.33,-0.1445,stop,False
XLF,short,2016-04-06,2016-04-06,14.9198,15.0422,13.8565,237,1,-29.01,-0.8205,stop,False
XLF,short,2016-04-13,2016-04-13,15.2017,15.405,13.8565,187,1,-38.02,-1.3375,stop,False
IWM,long,2016-04-15,2016-05-05,98.2318,96.6953,96.9548,51,15,-78.36,-1.5641,stop,False
XLF,long,2016-04-21,2016-05-13,15.8081,15.356,15.4102,320,17,-144.66,-2.8596,stop,False
XLE,long,2016-04-20,2016-05-17,21.6959,21.962,21.1528,233,20,61.99,1.2264,time_stop,False
GLD,long,2016-05-02,2016-05-20,123.8419,119.6501,119.755,40,15,-167.67,-3.3848,stop,False
GLD,long,2016-05-23,2016-05-23,118.9194,119.3103,119.755,42,1,16.42,0.3287,stop,False
SPY,long,2016-06-01,2016-06-02,177.2982,178.6371,176.9367,9,2,12.05,0.7552,partial_profit,True
SPY,long,2016-06-01,2016-06-13,177.2982,176.5536,176.9367,19,9,-14.15,-0.42,stop,False
XLE,long,2016-06-08,2016-06-13,23.1659,22.2166,22.2881,216,4,-205.04,-4.0977,stop,False
QQQ,long,2016-05-27,2016-06-15,102.079,100.2003,100.4547,49,13,-92.05,-1.8404,stop,False
XLE,long,2016-06-15,2016-06-15,22.1428,22.1505,22.2881,224,1,1.71,0.0345,stop,False
XLE,long,2016-06-22,2016-06-24,22.8519,22.2331,22.2881,216,3,-133.66,-2.7078,stop,False
XLF,short,2016-06-28,2016-06-29,14.7364,15.1969,15.1584,333,2,-153.35,-3.125,stop,False
XLF,short,2016-07-05,2016-07-06,15.1952,15.1699,15.1584,321,2,8.13,0.1666,stop,False
GLD,long,2016-07-06,2016-07-20,130.5652,125.3273,126.1963,37,11,-193.8,-4.0117,stop,False
IWM,long,2016-07-13,2016-08-09,106.2122,107.9049,102.3545,46,20,77.86,1.5937,time_stop,False
XLF,long,2016-08-09,2016-09-06,16.2371,16.5515,15.9942,298,20,93.69,1.9363,time_stop,False
XLF,long,2016-09-07,2016-09-26,16.5072,15.9154,15.9942,295,14,-174.58,-3.585,stop,False
QQQ,long,2016-09-23,2016-09-26,111.3771,109.7137,109.7711,43,2,-71.53,-1.4935,stop,False
QQQ,long,2016-09-30,2016-10-13,110.5816,109.3958,109.7711,43,10,-50.99,-1.0723,stop,False
GLD,short,2016-10-06,2016-11-02,119.6302,123.7018,125.2282,40,20,-162.87,-3.4035,time_stop,False
IWM,short,2016-10-28,2016-11-09,104.6132,108.4619,106.9444,46,9,-177.04,-3.679,stop,False
XLF,long,2016-11-10,2016-12-08,17.6774,19.7795,16.5732,216,20,454.07,11.8918,time_stop,False
GLD,short,2016-11-15,2016-12-13,116.4018,110.5052,120.017,40,20,235.86,5.0657,time_stop,False
GLD,short,2016-12-16,2017-01-04,107.896,110.9154,110.7177,45,12,-135.87,-2.7984,stop,False
GLD,short,2017-01-05,2017-01-05,112.1039,112.6363,110.7177,43,1,-22.89,-0.4749,stop,False
SPY,long,2016-12-09,2017-01-09,193.0736,194.9212,189.2699,25,20,46.19,0.957,time_stop,False
GLD,short,2017-01-12,2017-01-12,114.4627,113.967,110.7177,42,1,20.82,0.4331,stop,False
GLD,short,2017-01-19,2017-01-19,114.2628,114.8274,110.7177,42,1,-23.71,-0.4941,stop,False
GLD,short,2017-01-26,2017-01-26,113.1834,113.3166,110.7177,42,1,-5.6,-0.1177,stop,False
GLD,short,2017-02-02,2017-02-02,116.2019,115.8979,110.7177,41,1,12.46,0.2616,stop,False
GLD,short,2017-02-09,2017-02-09,118.1309,117.3486,110.7177,32,1,25.03,0.6622,stop,False
GLD,short,2017-02-16,2017-02-16,117.871,118.139,110.7177,33,1,-8.84,-0.2274,stop,False
GLD,short,2017-02-23,2017-02-23,118.7006,118.9995,110.7177,30,1,-8.97,-0.2518,stop,False
GLD,short,2017-03-02,2017-03-02,117.7011,117.6388,110.7177,34,1,2.12,0.053,stop,False
GLD,short,2017-03-09,2017-03-09,114.7226,114.5272,110.7177,42,1,8.21,0.1703,stop,False
XLE,short,2017-03-10,2017-03-15,23.7585,23.853,23.9598,204,4,-19.29,-0.3979,stop,False
QQQ,long,2017-03-17,2017-03-21,124.0733,121.9854,123.1608,39,3,-81.43,-1.6828,stop,False
QQQ,long,2017-03-24,2017-03-24,123.0198,122.7559,123.1608,39,1,-10.29,-0.2145,stop,False
QQQ,long,2017-03-31,2017-04-12,124.4308,123.0284,123.1608,39,9,-54.69,-1.1271,stop,False
QQQ,long,2017-04-13,2017-04-13,122.9822,122.5398,123.1608,39,1,-17.26,-0.3598,stop,False
QQQ,long,2017-04-20,2017-04-25,124.1863,126.9847,123.1608,12,4,33.58,2.2534,partial_profit,True
IWM,long,2017-04-27,2017-05-03,125.9798,123.138,123.3778,38,5,-107.99,-2.2557,stop,False
IWM,long,2017-05-04,2017-05-04,123.4751,122.9688,123.3778,39,1,-19.75,-0.41,stop,False
QQQ,long,2017-04-20,2017-05-17,124.1863,127.8681,123.1608,26,20,95.73,2.9647,time_stop,False
GLD,short,2017-05-05,2017-05-17,116.8016,119.8499,118.965,41,9,-124.98,-2.6098,stop,False
GLD,short,2017-05-18,2017-05-19,119.7101,119.4597,118.965,40,2,10.02,0.2092,stop,False
GLD,short,2017-05-25,2017-05-25,119.4602,119.5397,118.965,40,1,-3.18,-0.0666,stop,False
GLD,short,2017-06-01,2017-06-01,120.1099,120.7804,118.965,40,1,-26.82,-0.5582,stop,False
GLD,short,2017-06-08,2017-06-08,122.009,121.7108,118.965,39,1,11.63,0.2444,stop,False
GLD,short,2017-06-15,2017-06-15,119.1604,119.3797,118.965,40,1,-8.77,-0.184,stop,False
GLD,short,2017-06-22,2017-06-23,119.0704,119.4897,118.965,40,2,-16.77,-0.3521,stop,False
GLD,short,2017-06-29,2017-07-18,117.911,118.1691,118.965,40,13,-10.32,-0.2188,stop,False
GLD,short,2017-07-19,2017-07-21,118.1209,119.3196,118.965,40,3,-47.95,-1.0148,stop,False
GLD,short,2017-07-26,2017-07-26,118.5107,119.9399,118.965,40,1,-57.17,-1.206,stop,False
GLD,short,2017-08-02,2017-08-02,120.4497,120.4602,118.965,39,1,-0.41,-0.0087,stop,False
GLD,short,2017-08-09,2017-08-09,120.9595,121.3707,118.965,39,1,-16.04,-0.3399,stop,False
IWM,short,2017-08-11,2017-09-01,121.8098,125.7899,125.1269,39,16,-155.22,-3.2675,stop,False
XLE,short,2017-08-21,2017-09-01,21.2245,21.7066,21.561,225,10,-108.48,-2.2716,stop,False
